Card #,Player,Team,Starter,Pos,Rat,Spd,Def,WAR,IRL WAR,Diff,Special,Success%,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,
136,Derrek Lee,Chicago Cubs,,1B,83,,*,2.2,1.4,0.8,Power Surge,0.27,1B,BB,K,FO,2B,HR,K,GO,1B,FO,,,,,,,,,,,,,,,,,,,,
109,Tim Wakefield,Boston Red Sox,,P,76,,,2.2,1.0,1.1,Double Play,0.57,GO,FO,GO,FO,GO,1B,K,BB,HR,2B,,,,,,,,,,,,,,,,,,,,
134,Freddy Garcia,Chicago White Sox,,P,81,,*,2.1,3.3,-1.2,High Heat (BB),0.92,GO,FO,GO,K,FO,K,1B,2B,BB,HR,,,,,,,,,,,,,,,,,,,,
8,Matt Holliday,Colorado Rockies,,OF,81,,,2.1,0.7,1.4,Look for a Walk,0.81,1B,K,2B,BB,GO,1B,K,HR,FO,3B,,,,,,,,,,,,,,,,,,,,
29,Johnny Estrada,Atlanta Braves,,C,81,,,2.1,0.6,1.5,Make Contact,0.72,1B,1B,2B,GO,BB,FO,K,K,HR,BB,,,,,,,,,,,,,,,,,,,,
135,Jorge Posada,New York Yankees,,C,83,,,2.0,1.8,0.2,Look for a Walk,0.85,K,1B,BB,BB,GO,2B,HR,BB,1B,2B,,,,,,,,,,,,,,,,,,,,
15,Michael Young,Texas Rangers,,SS,83,,,1.9,1.2,0.8,Make Contact,0.73,1B,1B,FO,GO,K,BB,2B,HR,3B,1B,,,,,,,,,,,,,,,,,,,,
48,Mike Lowell,Florida Marlins,y,3B,83,,*,1.9,1.7,0.2,Make Contact,0.73,1B,BB,FO,FO,K,2B,HR,1B,2B,HR,,,,,,,,,,,,,,,,,,,,
55,Shawn Green,Arizona Diamondbacks,,OF,79,,,1.9,0.9,1.0,Make Contact,0.67,BB,K,1B,GO,1B,HR,2B,FO,K,FO,,,,,,,,,,,,,,,,,,,,
70,Ivan Rodriguez,Detroit Tigers,,C,85,,,1.9,2.3,-0.4,Look for a Walk,0.84,GO,K,1B,1B,BB,1B,2B,HR,2B,HR,,,,,,,,,,,,,,,,,,,,
132,Carlos Pena,Detroit Tigers,,1B,79,,,1.8,1.2,0.6,Power Surge,0.27,K,1B,BB,BB,K,HR,K,2B,2B,3B,,,,,,,,,,,,,,,,,,,,
13,Danny Bautista,Arizona Diamondbacks,,OF,74,,*,1.7,-0.9,2.7,Make Contact,0.72,1B,GO,1B,GO,K,BB,2B,1B,HR,FO,,,,,,,,,,,,,,,,,,,,
16,Tino Martinez,New York Yankees,,1B,81,,*,1.7,0.6,1.1,Make Contact,0.67,FO,1B,BB,K,BB,HR,1B,2B,GO,GO,,,,,,,,,,,,,,,,,,,,
18,Juan Pierre,Florida Marlins,y,OF,79,*,*,1.7,1.4,0.3,Steal,0.64,1B,1B,GO,1B,FO,BB,GO,2B,3B,3B,,,,,,,,,,,,,,,,,,,,
120,Chipper Jones,Atlanta Braves,,OF,82,,,1.6,1.4,0.2,Power Surge,0.31,K,1B,BB,BB,HR,GO,FO,2B,GO,BB,,,,,,,,,,,,,,,,,,,,
119,Pat Burrell,Philadelphia Phillies,,OF,81,,,1.6,0.6,0.9,Look for a Walk,0.85,K,K,1B,BB,BB,HR,1B,2B,BB,1B,,,,,,,,,,,,,,,,,,,,
35,Jeff Bagwell,Houston Astros,,1B,83,,*,1.6,1.8,-0.3,Look for a Walk,0.9,K,BB,FO,1B,BB,1B,HR,2B,2B,HR,,,,,,,,,,,,,,,,,,,,
122,Josh Beckett,Florida Marlins,,P,68,,,1.5,3.0,-1.5,High Heat (BB),0.53,GO,FO,K,GO,K,FO,BB,1B,2B,HR,,,,,,,,,,,,,,,,,,,,
91,Rafael Palmeiro,Baltimore Orioles,,1B,79,,,1.4,0.1,1.3,Make Contact,0.7,1B,FO,FO,BB,BB,2B,HR,K,1B,K,,,,,,,,,,,,,,,,,,,,
52,Michael Barrett,Chicago Cubs,,C,79,,,1.2,0.2,1.0,Look for a Walk,0.72,1B,FO,GO,K,2B,BB,1B,HR,3B,HR,,,,,,,,,,,,,,,,,,,,
124,Hee Sop Choi,Los Angeles Dodgers,y,1B,65,,,1.2,1.4,-0.2,Look for a Walk,0.91,1B,BB,K,BB,K,2B,HR,K,FO,K,,,,,,,,,,,,,,,,,,,,
28,Alfonso Soriano,Texas Rangers,,2B,80,*,,1.2,0.5,0.8,Steal,0.79,K,FO,1B,1B,GO,2B,BB,HR,HR,3B,,,,,,,,,,,,,,,,,,,,
103,Rich Harden,Oakland Athletics,,P,79,,,1.2,3.1,-1.9,High Heat (BB),0.35,FO,GO,FO,K,GO,1B,K,BB,BB,2B,,,,,,,,,,,,,,,,,,,,
22,Orlando Cabrera,Boston Red Sox,y,SS,67,*,,1.2,-2.2,3.4,Steal,0.84,GO,FO,1B,1B,2B,BB,FO,2B,BB,HR,,,,,,,,,,,,,,,,,,,,
78,Garret Anderson,Anaheim Angels,,OF,81,,,1.2,0.1,1.1,Look for a Walk,0.82,1B,1B,K,FO,GO,BB,2B,HR,1B,HR,,,,,,,,,,,,,,,,,,,,
81,Odalis Perez,Los Angeles Dodgers,,P,89,,*,1.2,2.2,-1.0,Double Play,0.56,GO,GO,FO,GO,K,1B,GO,2B,HR,3B,,,,,,,,,,,,,,,,,,,,
95,Andruw Jones,Atlanta Braves,,OF,78,,*,1.1,0.6,0.6,Power Surge,0.28,K,BB,1B,GO,K,HR,2B,1B,2B,3B,,,,,,,,,,,,,,,,,,,,
36,Keith Ginter,Oakland Athletics,,2B,79,,,1.1,0.8,0.3,Look for a Walk,0.69,1B,K,BB,K,FO,HR,2B,GO,2B,3B,,,,,,,,,,,,,,,,,,,,
7,Eric Munson,Detroit Tigers,,3B,75,,,0.9,-0.6,1.5,Power Surge,0.31,K,K,FO,BB,HR,1B,2B,GO,1B,3B,,,,,,,,,,,,,,,,,,,,
111,Matt Stairs,Kansas City Royals,,OF,78,,,0.9,-0.4,1.3,Look for a Walk,0.78,K,BB,1B,GO,1B,2B,HR,FO,K,3B,,,,,,,,,,,,,,,,,,,,
73,Shea Hillenbrand,Arizona Diamondbacks,,1B,80,,,0.9,0.3,0.6,Make Contact,0.61,1B,1B,GO,FO,GO,BB,HR,2B,K,3B,,,,,,,,,,,,,,,,,,,,
139,Coco Crisp,Cleveland Indians,y,OF,78,*,,0.8,0.6,0.3,Steal,0.61,1B,1B,GO,K,BB,FO,2B,HR,GO,HR,,,,,,,,,,,,,,,,,,,,
33,Jermaine Dye,Oakland Athletics,y,OF,77,,*,0.8,-0.2,1.0,Look for a Walk,0.71,1B,K,K,BB,FO,2B,HR,1B,1B,3B,,,,,,,,,,,,,,,,,,,,
85,Mike Piazza,New York Mets,,C,80,,,0.7,-0.2,0.9,Look for a Walk,0.85,FO,1B,K,BB,BB,1B,HR,2B,GO,2B,,,,,,,,,,,,,,,,,,,,
89,Jack Wilson,Pittsburgh Pirates,,SS,78,,,0.6,0.5,0.1,Make Contact,0.63,1B,1B,FO,GO,2B,FO,K,3B,BB,HR,,,,,,,,,,,,,,,,,,,,
79,David Dellucci,Texas Rangers,,OF,78,,,0.6,0.2,0.4,Look for a Walk,0.72,1B,K,BB,K,FO,HR,BB,2B,GO,1B,,,,,,,,,,,,,,,,,,,,
101,Torii Hunter,Minnesota Twins,,OF,77,*,,0.6,0.5,0.1,Steal,0.76,K,1B,GO,2B,BB,FO,HR,1B,K,HR,,,,,,,,,,,,,,,,,,,,
49,Orlando Hernandez,Chicago White Sox,,P,84,,,0.5,2.8,-2.3,High Heat (BB),0.96,FO,GO,K,FO,K,BB,GO,HR,2B,HR,,,,,,,,,,,,,,,,,,,,
63,David Bell,Philadelphia Phillies,,3B,81,,,0.5,0.6,-0.1,Make Contact,0.6,1B,BB,FO,GO,K,2B,1B,HR,FO,2B,,,,,,,,,,,,,,,,,,,,
114,Khalil Greene,San Diego Padres,,SS,79,,,0.4,1.0,-0.6,Look for a Walk,0.75,FO,BB,1B,K,2B,1B,K,HR,GO,3B,,,,,,,,,,,,,,,,,,,,
97,Charles Johnson,Colorado Rockies,,C,78,,,0.4,-0.8,1.2,Look for a Walk,0.67,BB,K,1B,K,GO,2B,HR,BB,BB,2B,,,,,,,,,,,,,,,,,,,,
96,Royce Clayton,Arizona Diamondbacks,,SS,75,,*,0.2,-1.3,1.6,Look for a Walk,0.72,1B,K,GO,1B,BB,2B,K,FO,HR,3B,,,,,,,,,,,,,,,,,,,,
19,Benito Santiago,Pittsburgh Pirates,,C,72,,,0.1,-1.6,1.7,Look for a Walk,0.65,K,GO,BB,HR,GO,2B,FO,1B,1B,K,,,,,,,,,,,,,,,,,,,,
2,Ronnie Belliard,Cleveland Indians,,2B,77,,,0.1,0.4,-0.4,Look for a Walk,0.82,1B,K,BB,FO,GO,2B,1B,2B,1B,HR,,,,,,,,,,,,,,,,,,,,
74,Gregg Zaun,Toronto Blue Jays,,C,78,,,0.1,-0.6,0.7,Look for a Walk,0.82,BB,K,1B,1B,2B,FO,GO,FO,BB,HR,,,,,,,,,,,,,,,,,,,,
46,Rocco Baldelli,Tampa Bay Devil Rays,,OF,77,*,,0.0,0.2,-0.2,Steal,0.78,1B,K,GO,1B,FO,2B,BB,GO,HR,3B,,,,,,,,,,,,,,,,,,,,
117,Alex Cora,Los Angeles Dodgers,,2B,76,,,0.0,-0.3,0.3,Make Contact,0.63,1B,BB,GO,1B,FO,GO,FO,HR,K,3B,,,,,,,,,,,,,,,,,,,,
126,Edgardo Alfonzo,San Francisco Giants,,3B,77,,,0.0,-0.2,0.2,Make Contact,0.63,1B,1B,FO,BB,GO,FO,2B,GO,HR,FO,,,,,,,,,,,,,,,,,,,,
26,Jorge Julio,Baltimore Orioles,,P,77,,,-0.1,0.1,-0.2,High Heat (BB),0.61,FO,K,FO,BB,GO,GO,K,1B,HR,FO,,,,,,,,,,,,,,,,,,,,
123,David Wells,Boston Red Sox,,P,81,,*,-0.1,2.3,-2.5,Pick Off,0.43,GO,FO,1B,GO,FO,GO,FO,K,2B,HR,,,,,,,,,,,,,,,,,,,,
61,Mike Lieberthal,Philadelphia Phillies,y,C,76,,,-0.3,-0.9,0.6,Look for a Walk,0.65,FO,1B,FO,K,BB,2B,HR,1B,1B,2B,,,,,,,,,,,,,,,,,,,,
37,A.J. Pierzynski,Chicago White Sox,,C,72,,*,-0.3,-2.0,1.7,Make Contact,0.57,1B,GO,FO,GO,1B,2B,FO,HR,BB,2B,,,,,,,,,,,,,,,,,,,,
31,Rob Mackowiak,Pittsburgh Pirates,,3B,76,,,-0.4,-0.6,0.2,Look for a Walk,0.73,GO,K,BB,1B,K,1B,2B,HR,3B,HR,,,,,,,,,,,,,,,,,,,,
14,Aaron Miles,Colorado Rockies,,2B,73,,,-0.4,-2.0,1.6,Make Contact,0.61,1B,1B,GO,GO,FO,1B,BB,K,2B,HR,,,,,,,,,,,,,,,,,,,,
54,David Eckstein,Anaheim Angels,y,SS,73,*,*,-0.4,-1.0,0.6,Steal,0.79,GO,1B,1B,FO,BB,1B,GO,2B,K,2B,,,,,,,,,,,,,,,,,,,,
129,Brian Roberts,Baltimore Orioles,,2B,76,*,*,-0.5,-0.3,-0.2,Steal,0.72,1B,BB,FO,2B,GO,1B,K,K,FO,GO,,,,,,,,,,,,,,,,,,,,
72,Deivi Cruz,San Francisco Giants,,SS,75,,,-0.5,-1.0,0.5,Make Contact,0.57,GO,1B,1B,2B,FO,GO,FO,BB,HR,K,,,,,,,,,,,,,,,,,,,,
66,Eric Hinske,Toronto Blue Jays,,3B,72,,*,-0.7,-1.7,1.0,Look for a Walk,0.69,K,FO,BB,1B,1B,GO,2B,HR,1B,3B,,,,,,,,,,,,,,,,,,,,
64,Julio Lugo,Tampa Bay Devil Rays,,SS,76,*,,-0.8,0.0,-0.8,Steal,0.79,K,1B,GO,BB,2B,1B,FO,GO,1B,3B,,,,,,,,,,,,,,,,,,,,
102,Geoff Jenkins,Milwaukee Brewers,,OF,77,,*,-0.9,0.0,-0.9,Look for a Walk,0.64,GO,1B,K,K,BB,2B,HR,1B,K,3B,,,,,,,,,,,,,,,,,,,,
21,Dontrelle Willis,Florida Marlins,y,P,66,,,-0.9,2.2,-3.1,Pick Off,0.18,GO,FO,GO,1B,K,FO,GO,BB,2B,HR,,,,,,,,,,,,,,,,,,,,
4,Morgan Ensberg,Houston Astros,,3B,74,,,-1.0,-1.3,0.4,Make Contact,0.55,FO,1B,1B,BB,GO,FO,2B,K,HR,3B,,,,,,,,,,,,,,,,,,,,
113,Troy Percival,Detroit Tigers,,P,90,,,-1.1,0.2,-1.2,High Heat (BB),0.62,FO,FO,GO,GO,K,1B,BB,FO,HR,HR,,,,,,,,,,,,,,,,,,,,
27,Roberto Alomar,Chicago White Sox,,2B,73,,,-1.2,-2.0,0.8,Make Contact,0.57,K,1B,1B,GO,BB,FO,GO,2B,HR,3B,,,,,,,,,,,,,,,,,,,,
88,Angel Berroa,Kansas City Royals,,SS,72,,,-1.2,-1.9,0.7,Make Contact,0.57,1B,K,GO,FO,1B,2B,GO,BB,3B,HR,,,,,,,,,,,,,,,,,,,,
62,Miguel Cairo,New York Yankees,y,2B,63,*,*,-1.2,0.1,-1.3,Steal,0.77,1B,FO,1B,GO,K,FO,2B,BB,3B,HR,,,,,,,,,,,,,,,,,,,,
128,Adam Kennedy,Anaheim Angels,,2B,77,*,,-1.2,0.2,-1.4,Steal,0.75,K,1B,1B,BB,FO,GO,FO,2B,HR,3B,,,,,,,,,,,,,,,,,,,,
137,Joe Crede,Chicago White Sox,,3B,73,,,-1.4,-1.3,-0.1,Look for a Walk,0.64,K,FO,GO,1B,1B,BB,HR,2B,2B,FO,,,,,,,,,,,,,,,,,,,,
38,Toby Hall,Tampa Bay Devil Rays,,C,70,,,-1.7,-3.1,1.4,Make Contact,0.53,FO,1B,GO,1B,FO,2B,BB,K,HR,GO,,,,,,,,,,,,,,,,,,,,
5,Kazuo Matsui,New York Mets,,SS,76,,,-1.8,-0.6,-1.1,Look for a Walk,0.72,GO,1B,K,BB,1B,K,2B,2B,FO,HR,,,,,,,,,,,,,,,,,,,,
104,Brad Ausmus,Houston Astros,y,C,60,,,-1.8,-3.5,1.7,Look for a Walk,0.7,1B,GO,1B,GO,K,BB,FO,2B,BB,HR,,,,,,,,,,,,,,,,,,,,
25,Jacque Jones,Minnesota Twins,y,OF,74,*,*,-2.2,-0.8,-1.3,Steal,0.55,1B,GO,K,GO,K,BB,HR,2B,1B,1B,,,,,,,,,,,,,,,,,,,,
76,Luis Castillo,Florida Marlins,,2B,77,*,*,-2.3,0.2,-2.6,Steal,0.85,1B,1B,GO,K,FO,K,K,1B,3B,2B,,,,,,,,,,,,,,,,,,,,
77,Jason Phillips,New York Mets,,1B,69,,,-2.6,-3.6,1.0,Make Contact,0.5,GO,FO,GO,1B,BB,1B,K,2B,HR,2B,,,,,,,,,,,,,,,,,,,,
68,Kerry Wood,Chicago Cubs,y,P,63,,,-2.8,3.0,-5.7,High Heat,0.86,GO,K,FO,K,GO,BB,1B,HR,2B,3B,,,,,,,,,,,,,,,,,,,,
42,Alex Gonzalez,Washington Nationals,,SS,71,,,-2.8,-3.2,0.4,Look for a Walk,0.6,1B,GO,K,K,2B,FO,GO,BB,HR,HR,,,,,,,,,,,,,,,,,,,,
131,Mike Matheny,San Francisco Giants,,C,69,,*,-3.0,-3.4,0.4,Look for a Walk,0.54,1B,GO,K,FO,K,2B,BB,1B,1B,HR,,,,,,,,,,,,,,,,,,,,
